HCT116_pH7A	HCT116_pH7B	HCT116_pH7C	HCT116_pH6A	HCT116_pH6B	HCT116_pH6C	Me3pH7A	Me3pH7B	Me3pH6A	Me3pH6B	Me3pH6C	Me3pH7C
ENSG00000162441	509	528	607	452	546	513	558	665	444	521	483	507
ENSG00000162444	182	144	239	254	218	266	2	0	3	9	3	2
ENSG00000162456	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162458	6	9	4	62	94	62	43	25	38	52	93	49
ENSG00000162460	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162461	1	3	3	1	3	2	1	4	6	9	6	15
ENSG00000162482	1	5	2	4	7	1	0	2	1	2	1	1
ENSG00000162490	5	4	13	18	12	15	0	0	0	1	1	0
ENSG00000162493	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162494	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162496	106	74	285	809	999	552	723	516	995	1459	2064	1260
ENSG00000162510	2	1	1	1	2	0	16	6	5	7	3	10
ENSG00000162511	0	0	0	11	8	7	41	36	31	83	11	41
ENSG00000162512	140	124	229	434	416	240	2549	1847	2249	2586	3330	3235
ENSG00000162517	564	697	743	658	515	510	550	395	480	818	728	697
ENSG00000162520	13	13	28	88	73	99	9	16	56	40	36	14
ENSG00000162521	2992	2261	2134	1810	1617	1659	1663	1905	1584	1529	1716	1468
ENSG00000162522	216	167	233	371	246	241	20	14	39	46	59	36
ENSG00000162526	3	7	5	12	8	11	1	5	3	4	4	3
ENSG00000162542	65	68	102	154	130	79	66	54	83	116	215	105
ENSG00000162543	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000162545	189	192	127	220	312	210	30	40	41	14	21	45
ENSG00000162551	0	0	1	1	1	0	8	6	6	8	15	11
ENSG00000162552	2	0	0	8	8	13	0	0	0	0	1	0
ENSG00000162571	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162572	3	3	2	8	4	3	6	1	7	13	18	16
ENSG00000162576	1	1	0	0	1	0	1	0	1	13	7	3
ENSG00000162585	51	52	54	91	105	59	35	21	18	34	64	57
ENSG00000162591	15	18	25	167	142	63	0	0	0	0	0	0
ENSG00000162592	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162594	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000162595	8	1	2	2	1	5	15	11	43	37	78	14
ENSG00000162598	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000162599	497	370	430	314	334	274	60	53	61	59	61	60
ENSG00000162600	251	260	303	324	290	358	166	190	243	314	248	199
ENSG00000162601	1127	786	872	778	893	999	661	779	661	562	585	655
ENSG00000162604	295	244	231	342	279	337	412	539	616	721	729	430
ENSG00000162607	1932	2049	2092	1686	1395	1517	2039	2580	1478	1574	1743	1884
ENSG00000162613	3355	3660	3515	3613	3749	3043	2690	2716	1675	2026	1905	2760
ENSG00000162614	1	0	2	1	2	2	0	0	3	2	3	0
ENSG00000162616	531	562	571	655	701	720	606	886	745	713	657	666
ENSG00000162618	0	0	0	0	1	0	381	476	54	53	67	322
ENSG00000162620	13	7	16	9	6	6	31	32	38	40	56	27
ENSG00000162621	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000162623	1568	1763	1447	896	964	867	752	848	586	611	621	746
ENSG00000162624	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162627	250	249	302	401	378	255	545	710	409	425	408	503
ENSG00000162630	0	0	0	0	0	0	653	838	123	118	119	667
ENSG00000162631	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162636	548	494	513	818	677	702	792	935	547	710	510	772
ENSG00000162639	0	0	0	0	1	0	356	406	309	350	327	357
ENSG00000162641	2	2	5	4	12	7	19	12	5	14	10	21
ENSG00000162642	528	506	480	354	356	315	399	445	282	324	305	449
ENSG00000162643	25	17	32	38	21	64	2	9	16	21	8	6
ENSG00000162645	0	0	1	5	20	2	31	48	223	250	188	36
ENSG00000162650	56	92	84	99	93	68	40	14	28	39	59	83
ENSG00000162654	0	0	0	0	0	2	18	14	66	117	93	15
ENSG00000162664	280	219	247	185	257	214	174	184	143	137	153	167
ENSG00000162669	5	7	6	2	7	3	38	58	56	48	51	29
ENSG00000162670	0	0	0	0	1	1	1	2	0	1	0	1
ENSG00000162676	53	41	64	112	107	73	42	33	35	45	43	68
ENSG00000162685	0	0	0	0	0	0	12	7	10	3	8	4
ENSG00000162687	0	0	0	0	0	0	4	0	2	3	1	0
ENSG00000162688	1128	825	1302	859	1232	913	401	511	639	635	643	366
ENSG00000162692	0	0	0	0	1	0	26	34	216	174	137	20
ENSG00000162694	458	432	525	332	281	300	405	547	341	353	424	418
ENSG00000162695	1509	1525	1338	1353	1654	1312	1980	2178	1586	1670	1734	1886
ENSG00000162699	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162702	705	709	872	731	967	797	685	842	419	459	429	715
ENSG00000162704	1050	1076	1259	1338	1195	1106	1651	2271	1360	1504	1350	1892
ENSG00000162706	0	0	0	0	0	0	51	53	29	25	35	60
ENSG00000162711	0	0	0	18	26	25	56	29	93	127	139	49
ENSG00000162714	578	786	799	725	847	707	509	395	204	208	297	507
ENSG00000162722	0	0	0	0	0	0	5	3	2	2	1	1
ENSG00000162723	0	0	0	0	1	0	140	105	95	116	85	124
ENSG00000162727	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162728	0	0	0	0	0	0	0	0	0	2	1	0
ENSG00000162729	46	82	69	155	121	94	123	74	111	109	263	254
ENSG00000162733	11	9	7	13	58	22	1652	1512	817	699	890	1492
ENSG00000162734	1160	1168	1008	1075	1161	948	6208	6172	4940	4779	4696	5751
ENSG00000162735	363	427	360	504	387	487	762	968	896	972	725	719
ENSG00000162736	1039	930	1029	1215	1301	1175	3746	3573	3269	3388	3396	3639
ENSG00000162738	11	4	4	3	1	1	4	4	6	1	6	1
ENSG00000162739	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162745	5	6	13	16	10	2	120	94	118	96	158	126
ENSG00000162746	4	8	8	16	21	6	38	26	23	27	12	51
ENSG00000162747	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000162753	0	1	0	2	2	1	2	2	0	0	1	2
ENSG00000162755	1	0	2	0	0	0	0	0	0	0	0	0
ENSG00000162757	148	167	160	168	160	146	179	173	113	101	120	188
ENSG00000162761	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162763	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162769	889	851	709	466	450	458	169	158	99	108	98	180
ENSG00000162771	1	1	2	6	3	4	0	0	0	0	0	0
ENSG00000162772	225	253	319	952	1244	640	127	101	299	317	263	105
ENSG00000162775	935	983	999	842	872	780	813	752	490	575	671	924
ENSG00000162777	380	394	471	635	714	524	0	0	0	2	1	0
ENSG00000162779	37	32	24	41	59	43	1	4	7	4	2	3
ENSG00000162782	5	6	6	4	4	5	15	9	27	32	24	10
ENSG00000162783	210	253	262	592	632	391	178	166	146	186	178	216
ENSG00000162804	17	15	15	43	61	35	1	0	1	2	3	0
ENSG00000162813	446	422	541	368	382	357	434	568	468	437	355	462
ENSG00000162814	13	21	31	16	20	13	2	3	31	20	14	9
ENSG00000162817	140	194	317	292	281	264	0	0	0	1	0	0
ENSG00000162819	1203	1251	1338	1249	1473	1388	1645	2002	1083	1193	1163	1667
ENSG00000162825	16	9	12	19	17	16	11	15	15	11	8	4
ENSG00000162836	111	87	101	216	268	169	346	317	524	486	561	284
ENSG00000162840	7	13	20	11	8	9	5	3	2	3	3	23
ENSG00000162843	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000162849	2	0	9	14	25	5	0	0	0	0	0	0
ENSG00000162851	577	621	547	319	347	329	588	710	304	317	328	672
ENSG00000162852	565	541	607	503	622	530	994	1171	779	887	801	965
ENSG00000162869	212	151	311	179	266	228	86	129	168	124	139	97
ENSG00000162873	0	0	0	2	1	0	0	0	0	0	0	0
ENSG00000162877	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000162878	1	3	0	0	0	0	34	25	33	57	58	60
ENSG00000162881	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162882	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162885	838	849	837	659	659	705	932	1055	586	665	578	902
ENSG00000162888	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162889	457	505	572	694	774	545	709	601	444	595	600	856
ENSG00000162891	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000162892	0	0	0	0	0	0	2	6	14	39	23	4
ENSG00000162894	0	1	5	6	7	2	0	0	1	2	1	0
ENSG00000162896	0	0	0	5	6	1	1	0	1	1	1	0
ENSG00000162897	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000162909	4914	5620	5625	9632	11162	8971	8370	7391	6274	7928	9192	8528
ENSG00000162910	62	91	98	153	151	85	80	32	47	71	112	164
ENSG00000162913	2	2	0	11	18	4	0	0	0	1	0	1
ENSG00000162923	1376	1046	1360	1401	1597	1660	1508	1981	1520	1435	1209	1518
ENSG00000162924	143	90	153	121	194	176	107	142	150	173	172	120
ENSG00000162927	84	105	93	93	98	95	171	196	192	209	206	169
ENSG00000162928	309	334	344	395	506	361	425	506	535	540	530	391
ENSG00000162929	73	47	83	84	92	82	122	113	169	176	203	135
ENSG00000162931	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000162944	0	0	0	0	0	0	37	46	35	35	36	31
ENSG00000162946	14	15	12	23	15	10	156	179	118	138	97	147
ENSG00000162947	0	0	0	0	0	0	1	0	0	4	0	0
ENSG00000162949	0	1	1	6	8	1	0	0	0	0	0	0
ENSG00000162951	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162959	5	8	1	6	3	6	1	2	8	5	2	6
ENSG00000162961	327	330	430	419	461	475	407	467	329	459	409	433
ENSG00000162971	352	331	322	342	345	368	213	259	243	248	228	221
ENSG00000162972	319	363	347	222	179	225	185	202	134	138	161	192
ENSG00000162975	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000162976	102	84	152	225	243	296	186	215	235	268	318	179
ENSG00000162980	2480	2497	2612	1939	1784	1696	1780	2338	1427	1465	1341	1974
ENSG00000162981	0	0	0	0	0	0	1	0	0	1	0	0
ENSG00000162989	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162992	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000162994	113	91	88	68	99	88	59	53	54	66	64	64
ENSG00000162997	4	1	1	4	7	3	13	5	14	9	16	5
ENSG00000162998	4	3	5	12	12	13	3	3	3	1	1	2
ENSG00000162999	48	41	75	39	37	50	23	30	48	46	34	22
ENSG00000163001	384	432	481	383	386	473	285	366	452	461	435	342
ENSG00000163002	755	813	887	687	706	703	519	606	348	375	357	544
ENSG00000163006	549	511	485	303	277	292	384	483	164	199	222	353
ENSG00000163009	14	19	16	15	13	17	7	5	4	6	7	4
ENSG00000163012	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163013	259	237	259	217	207	152	16	8	34	31	32	10
ENSG00000163016	1	0	1	0	1	1	1	1	4	2	2	0
ENSG00000163017	1	0	0	0	1	0	0	0	2	0	2	0
ENSG00000163026	626	660	673	421	522	437	458	484	429	408	461	420
ENSG00000163029	1291	1240	1443	1465	1480	1501	1130	1393	953	991	1016	1103
ENSG00000163032	269	211	254	38	27	18	0	0	0	1	0	0
ENSG00000163040	23	27	52	84	39	45	71	38	40	62	95	112
ENSG00000163041	57	47	30	43	57	43	48	60	44	38	43	46
ENSG00000163046	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163050	200	265	243	413	374	269	60	47	40	64	68	68
ENSG00000163053	382	458	437	536	486	499	0	0	0	0	0	0
ENSG00000163060	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000163064	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163067	117	140	164	114	157	101	80	97	119	106	117	79
ENSG00000163069	424	288	414	257	204	206	603	645	545	493	504	496
ENSG00000163071	0	0	0	0	0	0	28	24	115	118	106	26
ENSG00000163072	13	1	5	4	11	3	3	7	2	1	3	0
ENSG00000163075	1	2	3	5	3	3	0	0	1	1	1	0
ENSG00000163081	0	0	0	0	0	0	2	1	0	0	0	0
ENSG00000163082	4	5	2	8	4	3	0	0	0	0	0	1
ENSG00000163083	3	1	1	5	4	6	0	0	1	0	0	0
ENSG00000163092	0	0	0	3	0	1	2	1	0	0	1	0
ENSG00000163093	10	11	10	15	5	13	18	16	21	30	42	46
ENSG00000163098	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163104	1723	1683	1997	1504	1737	1632	1214	1585	1059	1073	1019	1268
ENSG00000163106	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163110	1882	1947	2501	1746	1521	1887	1676	1702	984	1102	941	1819
ENSG00000163113	495	496	536	570	549	493	1239	1201	912	1109	1074	1301
ENSG00000163114	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163116	2	3	1	3	2	4	2	3	0	7	1	0
ENSG00000163121	0	0	0	2	6	4	1	0	3	2	6	0
ENSG00000163125	756	532	696	562	559	526	656	684	374	403	387	599
ENSG00000163126	7	2	2	4	9	4	4	2	2	5	5	11
ENSG00000163131	0	2	0	7	20	15	66	60	125	183	260	65
ENSG00000163132	311	326	258	248	207	242	2	1	0	1	1	0
ENSG00000163138	388	379	341	270	329	194	195	271	219	224	248	228
ENSG00000163141	10	7	6	14	24	15	6	6	5	2	6	26
ENSG00000163145	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163154	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163155	102	84	98	96	80	108	111	115	101	100	91	129
ENSG00000163156	260	383	344	460	556	336	340	207	237	378	370	538
ENSG00000163157	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163159	349	466	559	724	718	496	417	355	331	461	464	502
ENSG00000163161	1192	1367	1336	1217	1313	915	1208	1085	779	1042	1033	1265
ENSG00000163162	722	817	776	715	751	797	637	751	494	536	631	609
ENSG00000163166	1041	1053	1254	1236	1285	1416	1381	1530	1170	1389	1186	1277
ENSG00000163170	251	305	332	314	225	223	236	293	208	187	249	250
ENSG00000163171	808	722	897	1077	1112	892	1917	2110	1190	1220	1658	1821
ENSG00000163191	494	451	708	1311	1271	1279	1583	1194	977	1358	1232	1791
ENSG00000163202	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163206	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000163207	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163209	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163214	442	365	399	318	359	341	527	643	519	608	542	506
ENSG00000163216	0	0	0	0	0	0	32	33	5	11	9	23
ENSG00000163217	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163218	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163219	0	0	0	0	0	0	4	1	11	11	9	4
ENSG00000163220	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000163221	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163235	1072	1024	1258	2015	1873	2222	9283	12648	8711	7796	6758	10007
ENSG00000163239	0	0	0	0	0	0	0	0	0	1	3	1
ENSG00000163249	183	134	206	145	191	143	342	375	302	335	313	294
ENSG00000163251	307	211	264	320	296	252	211	250	165	174	161	170
ENSG00000163254	0	0	0	0	0	0	6	2	1	2	2	21
ENSG00000163257	1518	1608	1370	1842	2155	1648	716	891	741	840	947	691
ENSG00000163263	2	1	0	1	2	1	2	0	1	0	4	0
ENSG00000163273	0	2	0	0	0	0	69	75	18	26	14	96
ENSG00000163281	505	493	458	468	519	489	245	330	327	348	323	259
ENSG00000163283	0	0	1	0	2	0	0	0	0	0	1	0
ENSG00000163285	0	0	0	0	0	0	0	2	3	3	0	0
ENSG00000163286	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000163288	0	0	0	0	0	0	8	14	7	9	10	10
ENSG00000163291	1221	1171	1230	1098	966	1054	2474	3021	1500	1603	1573	2251
ENSG00000163293	307	282	302	512	521	346	643	736	438	384	454	642
ENSG00000163295	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163297	83	86	68	137	122	95	3030	3107	1131	1497	1284	2680
ENSG00000163312	234	234	239	177	230	185	138	147	114	140	139	146
ENSG00000163319	548	617	477	373	339	333	290	369	246	244	277	300
ENSG00000163320	1244	1078	1211	1142	1164	1224	1271	1608	1245	1430	1150	1233
ENSG00000163322	171	97	212	102	85	164	169	215	183	210	160	153
ENSG00000163328	76	50	75	122	111	105	103	181	323	290	250	131
ENSG00000163331	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000163344	16	30	32	61	64	34	39	16	34	50	58	64
ENSG00000163346	29	29	78	112	119	95	168	122	224	276	503	252
ENSG00000163347	0	0	1	0	2	1	2161	2642	3054	2215	3774	2070
ENSG00000163348	339	336	400	509	494	418	418	340	368	343	455	458
ENSG00000163349	1089	779	944	732	833	807	926	1032	821	658	806	912
ENSG00000163352	3	5	1	3	4	6	1	1	0	0	7	0
ENSG00000163354	4	3	6	23	12	13	2	0	0	2	1	4
ENSG00000163357	0	0	0	3	2	0	0	0	0	0	0	0
ENSG00000163359	2	4	1	9	17	8	12	8	4	16	5	14
ENSG00000163362	25	29	42	91	127	63	123	106	50	59	77	182
ENSG00000163364	1	0	0	0	0	0	418	437	239	230	244	461
ENSG00000163374	386	337	375	417	504	379	527	462	412	386	385	516
ENSG00000163376	192	251	189	155	137	120	216	305	125	134	126	220
ENSG00000163377	0	0	0	0	0	0	12	12	4	5	6	8
ENSG00000163378	635	635	675	680	674	595	1406	1508	1078	1258	1277	1241
ENSG00000163380	0	0	0	0	0	0	5	9	3	1	0	3
ENSG00000163382	749	837	1115	1331	1387	1017	427	379	503	709	686	450
ENSG00000163386	312	253	301	402	361	474	314	378	340	286	302	283
ENSG00000163389	463	369	341	201	195	181	468	487	271	200	318	400
ENSG00000163393	78	47	55	79	141	70	51	51	63	83	61	59
ENSG00000163394	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163395	0	0	0	0	1	0	3	3	0	2	0	5
ENSG00000163399	2508	1166	2556	1302	1000	2058	10907	10428	5895	6134	6784	9218
ENSG00000163406	23	19	17	16	12	13	8	11	7	3	9	14
ENSG00000163412	48	46	66	112	117	72	3	2	7	4	3	0
ENSG00000163421	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163424	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163428	3988	3396	3575	2847	2763	2709	2471	2986	1514	1570	2034	2386
ENSG00000163430	610	615	506	1679	1862	1466	1444	1740	3965	4359	2902	1244
ENSG00000163431	0	0	0	3	0	0	0	0	2	2	2	0
ENSG00000163435	107	114	163	265	360	203	3	2	18	40	22	3
ENSG00000163440	3	2	3	0	0	0	0	0	0	0	0	2
ENSG00000163444	636	685	777	569	622	612	537	577	363	366	358	519
ENSG00000163449	2	1	3	4	2	0	59	43	41	41	33	52
ENSG00000163453	0	0	0	0	0	0	108	160	351	331	323	148
ENSG00000163462	13	7	15	12	9	6	1	2	1	3	11	10
ENSG00000163463	491	604	649	757	709	495	673	615	404	539	498	863
ENSG00000163464	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163466	2197	2356	2529	2828	2741	2887	4242	4404	2938	3453	3061	4106
ENSG00000163467	20	18	15	4	15	13	28	34	20	14	22	26
ENSG00000163468	14266	17825	18260	12827	11599	10670	13338	13027	6286	7556	7471	14135
ENSG00000163472	27	52	38	41	60	27	42	23	13	40	33	50
ENSG00000163479	1753	1966	1764	1496	1502	1593	6730	6327	3025	3669	2885	6507
ENSG00000163481	246	306	355	302	276	225	280	166	144	267	291	403
ENSG00000163482	487	386	341	269	286	228	489	347	223	225	273	503
ENSG00000163485	13	23	21	36	18	6	7	5	2	5	6	20
ENSG00000163486	589	567	611	825	658	758	2234	2073	1780	1846	1916	2198
ENSG00000163491	30	33	19	19	51	32	88	111	51	55	57	93
ENSG00000163492	0	0	0	0	0	0	1	0	2	2	2	0
ENSG00000163497	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163499	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163501	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163507	1619	1413	1546	1251	783	1234	1275	1618	583	665	696	1286
ENSG00000163508	30	46	48	33	43	44	6	2	10	9	6	2
ENSG00000163510	901	829	1011	566	630	736	597	770	432	471	440	604
ENSG00000163512	689	680	835	607	602	634	802	990	939	951	863	831
ENSG00000163513	693	603	690	414	562	394	1460	1679	1814	1560	1654	1489
ENSG00000163515	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163516	314	324	327	538	654	510	165	155	207	315	306	218
ENSG00000163517	32	47	69	95	97	78	15	13	57	87	120	23
ENSG00000163518	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163519	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163520	0	0	1	5	3	0	50	20	26	64	96	154
ENSG00000163521	28	42	39	56	37	33	558	694	912	1001	1003	551
ENSG00000163527	5025	4861	5255	3827	3597	4343	7555	9307	5460	5575	5098	6978
ENSG00000163528	459	472	463	312	386	344	275	318	238	291	227	253
ENSG00000163530	0	0	0	0	0	0	16	35	13	27	14	24
ENSG00000163531	0	0	2	0	1	3	10	1	5	7	11	7
ENSG00000163534	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163535	868	765	991	671	297	845	1337	1655	659	816	756	1332
ENSG00000163536	27	57	36	24	31	5	162	178	91	77	63	112
ENSG00000163539	999	936	1023	932	976	1081	1447	1774	1247	1457	1450	1416
ENSG00000163541	931	969	1111	998	956	927	1055	1196	821	1014	830	944
ENSG00000163545	65	55	49	223	205	169	58	30	62	80	73	84
ENSG00000163554	0	0	0	0	0	0	1	2	2	1	2	1
ENSG00000163558	763	652	810	821	968	944	1734	2359	1668	1891	1632	1903
ENSG00000163563	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163564	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000163565	1	1	0	1	1	2	1097	1284	614	530	592	991
ENSG00000163568	0	0	0	0	0	0	29	45	63	65	70	33
ENSG00000163576	5	2	4	5	5	2	8	7	9	10	10	7
ENSG00000163577	572	413	560	426	426	383	575	738	551	636	694	529
ENSG00000163581	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163584	3656	3525	3806	2480	2122	2676	2049	2813	693	573	590	2138
ENSG00000163586	0	0	0	0	0	0	0	0	0	1	0	1
ENSG00000163590	336	343	330	267	393	213	163	204	222	242	260	144
ENSG00000163596	35	38	26	50	33	80	51	57	42	56	75	75
ENSG00000163597	10854	10477	9446	6986	6256	6363	8639	9433	6589	7018	5978	8174
ENSG00000163599	0	0	0	0	0	0	7	6	5	4	5	5
ENSG00000163600	0	0	0	0	0	0	0	5	0	0	0	0
ENSG00000163602	667	637	775	669	944	655	462	574	388	447	389	496
ENSG00000163605	2032	1994	2149	1536	1742	1810	2168	2704	1622	1839	1672	2018
ENSG00000163606	1	0	1	0	8	0	3	0	0	1	0	1
ENSG00000163607	261	278	265	207	179	167	173	198	111	129	114	229
ENSG00000163608	636	704	645	602	567	570	353	425	372	381	319	340
ENSG00000163611	443	346	354	404	499	322	264	305	303	319	249	267
ENSG00000163612	0	0	0	1	0	2	0	0	0	0	0	0
ENSG00000163617	44	39	58	67	55	82	18	17	44	45	39	16
ENSG00000163618	0	0	0	0	1	0	1013	942	443	281	517	900
ENSG00000163623	8	10	13	13	17	8	0	0	0	0	1	0
ENSG00000163624	451	446	523	547	495	526	0	2	24	21	22	1
ENSG00000163625	929	671	792	760	886	827	890	947	692	588	675	843
ENSG00000163626	153	157	206	160	187	188	234	271	259	303	251	224
ENSG00000163629	667	642	738	620	796	664	565	836	534	514	395	617
ENSG00000163630	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000163631	0	0	0	4	7	0	0	0	0	1	2	1
ENSG00000163632	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000163633	29	18	12	28	27	33	13	10	10	6	19	10
ENSG00000163634	633	605	721	589	517	510	677	844	489	457	540	691
ENSG00000163635	738	629	551	747	765	708	628	592	447	431	478	585
ENSG00000163636	1752	2058	1789	1156	1026	1264	1862	2271	1435	1600	1426	1870
ENSG00000163637	0	0	0	1	1	0	630	688	554	674	504	652
ENSG00000163638	1	0	0	1	0	1	2915	2784	974	693	1058	2776
ENSG00000163644	62	72	74	129	149	195	63	105	133	142	56	74
ENSG00000163645	1	0	0	0	1	0	2	3	1	0	0	1
ENSG00000163646	0	0	0	0	0	0	96	123	85	88	90	82
ENSG00000163655	2472	2479	2957	2141	2277	2123	2217	2767	1697	1901	1858	2027
ENSG00000163659	861	880	1262	1963	3955	2213	1761	2564	2188	2449	2257	1720
ENSG00000163660	1861	1725	1656	1925	2391	2242	1050	1169	1485	1078	1071	1153
ENSG00000163661	0	0	0	5	3	0	1503	1704	588	761	664	1471
ENSG00000163666	14	7	6	12	19	12	9	5	7	8	11	7
ENSG00000163673	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163681	1833	1894	2028	1822	1988	2061	925	1004	890	1076	1032	964
ENSG00000163682	572	506	406	506	483	439	332	395	193	219	273	522
ENSG00000163683	25	27	65	219	252	253	46	88	177	212	128	49
ENSG00000163684	8	3	2	8	4	8	2	2	0	0	1	1
ENSG00000163686	211	190	218	175	201	149	303	276	315	329	375	361
ENSG00000163687	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163689	60	42	66	110	92	139	129	147	120	151	112	112
ENSG00000163694	118	83	128	261	435	260	196	250	285	347	292	235
ENSG00000163697	1784	1629	2114	2057	2133	2013	1861	1864	2055	2260	1703	1677
ENSG00000163701	87	59	71	171	167	161	10	4	15	15	15	19
ENSG00000163702	8	22	31	136	145	100	61	39	158	253	351	143
ENSG00000163703	56	70	82	237	229	249	291	196	458	648	1145	456
ENSG00000163704	7	1	4	17	11	6	2	2	7	5	5	5
ENSG00000163705	1	0	0	0	1	1	0	0	0	0	0	0
ENSG00000163710	142	144	124	148	142	109	202	224	254	266	251	226
ENSG00000163714	5382	5598	5679	4824	4127	4424	5284	6488	4085	4134	4554	5088
ENSG00000163719	336	419	497	511	436	398	424	337	386	514	478	468
ENSG00000163728	634	580	612	492	716	588	450	485	433	444	427	433
ENSG00000163734	2	4	4	3	7	3	7	6	17	58	18	10
ENSG00000163735	0	0	0	0	0	0	168	151	327	672	316	122
ENSG00000163736	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163737	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000163738	358	302	313	273	369	233	165	181	149	160	130	149
ENSG00000163739	3	0	5	37	73	28	395	402	1054	1714	735	361
ENSG00000163743	609	567	584	424	395	460	229	285	138	169	163	227
ENSG00000163746	1	0	1	1	4	1	0	0	0	0	0	0
ENSG00000163749	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163751	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163754	490	500	587	487	500	489	1057	1295	1068	1131	1001	1002
ENSG00000163755	273	262	306	400	477	412	704	890	757	818	745	663
ENSG00000163762	5	8	6	26	11	10	164	177	52	89	66	175
ENSG00000163781	3386	3407	3537	2590	2653	2468	3709	4639	2462	2706	2736	3485
ENSG00000163785	1906	2023	2171	1767	1600	1876	2179	2640	1871	2122	1755	2092
ENSG00000163788	495	542	563	679	660	602	381	434	539	544	643	412
ENSG00000163792	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163793	15	9	11	33	67	18	0	0	0	0	0	0
ENSG00000163794	0	0	1	5	3	1	1	1	0	2	5	3
ENSG00000163795	16	28	32	65	88	50	36	21	36	75	89	93
ENSG00000163798	453	514	540	511	498	456	547	644	650	715	661	544
